"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	Count	Population	Age-Adjusted Rate	Crude Rate
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"1999"	"1999"	12726	2678338	470.2	475.1
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2000"	"2000"	12812	2693681	470.4	475.6
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2001"	"2001"	12815	2702162	467.0	474.2
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2002"	"2002"	12920	2713535	466.0	476.1
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2003"	"2003"	13234	2723004	472.5	486.0
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2004"	"2004"	13432	2734373	474.5	491.2
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2005"	"2005"	13458	2745299	470.2	490.2
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2006"	"2006"	13787	2762931	475.3	499.0
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2007"	"2007"	14460	2783785	491.2	519.4
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2008"	"2008"	14656	2808076	490.2	521.9
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2009"	"2009"	14546	2832704	477.8	513.5
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2010"	"2010"	14548	2858825	472.0	508.9
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2011"	"2011"	14973	2872711	480.4	521.2
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2012"	"2012"	14954	2891541	471.9	517.2
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2013"	"2013"	14769	2902190	458.9	508.9
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2014"	"2014"	14871	2912032	457.1	510.7
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2015"	"2015"	15537	2923211	470.7	531.5
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2016"	"2016"	15415	2927628	462.7	526.5
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2017"	"2017"	15898	2927546	469.9	543.0
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2018"	"2018"	15996	2931560	466.0	545.6
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2019"	"2019"	16392	2933672	470.9	558.8
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2020"	"2020"	15190	2937919	430.7	517.0
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2021"	"2021"	15835	2937922	444.1	539.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"1999"	"1999"	283	2678338	10.5	10.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2000"	"2000"	292	2693681	10.8	10.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2001"	"2001"	272	2702162	10.0	10.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2002"	"2002"	287	2713535	10.4	10.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2003"	"2003"	294	2723004	10.5	10.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2004"	"2004"	307	2734373	10.7	11.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2005"	"2005"	297	2745299	10.3	10.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2006"	"2006"	294	2762931	10.0	10.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2007"	"2007"	341	2783785	11.3	12.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2008"	"2008"	335	2808076	11.0	11.9
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2009"	"2009"	336	2832704	11.0	11.9
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2010"	"2010"	337	2858825	10.6	11.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2011"	"2011"	358	2872711	11.5	12.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2012"	"2012"	392	2891541	12.0	13.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2013"	"2013"	398	2902190	12.1	13.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2014"	"2014"	400	2912032	11.9	13.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2015"	"2015"	438	2923211	12.7	15.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2016"	"2016"	418	2927628	12.3	14.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2017"	"2017"	401	2927546	11.6	13.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2018"	"2018"	397	2931560	11.6	13.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2019"	"2019"	421	2933672	11.8	14.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2020"	"2020"	422	2937919	11.8	14.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2021"	"2021"	444	2937922	12.3	15.1
	"Lip"	"20010"	"Kansas"	"20"	"1999"	"1999"	39	2678338	1.4	1.5
	"Lip"	"20010"	"Kansas"	"20"	"2000"	"2000"	50	2693681	1.9	1.9
	"Lip"	"20010"	"Kansas"	"20"	"2001"	"2001"	34	2702162	1.2	1.3
	"Lip"	"20010"	"Kansas"	"20"	"2002"	"2002"	32	2713535	1.1	1.2
	"Lip"	"20010"	"Kansas"	"20"	"2003"	"2003"	41	2723004	1.5	1.5
	"Lip"	"20010"	"Kansas"	"20"	"2004"	"2004"	36	2734373	1.2	1.3
	"Lip"	"20010"	"Kansas"	"20"	"2005"	"2005"	40	2745299	1.4	1.5
	"Lip"	"20010"	"Kansas"	"20"	"2006"	"2006"	33	2762931	1.1	1.2
	"Lip"	"20010"	"Kansas"	"20"	"2007"	"2007"	32	2783785	1.1	1.1
	"Lip"	"20010"	"Kansas"	"20"	"2008"	"2008"	26	2808076	0.9	0.9
	"Lip"	"20010"	"Kansas"	"20"	"2009"	"2009"	36	2832704	1.2	1.3
	"Lip"	"20010"	"Kansas"	"20"	"2010"	"2010"	23	2858825	0.7	0.8
	"Lip"	"20010"	"Kansas"	"20"	"2011"	"2011"	32	2872711	1.1	1.1
	"Lip"	"20010"	"Kansas"	"20"	"2012"	"2012"	33	2891541	1.0	1.1
	"Lip"	"20010"	"Kansas"	"20"	"2013"	"2013"	35	2902190	1.1	1.2
	"Lip"	"20010"	"Kansas"	"20"	"2014"	"2014"	28	2912032	0.8	1.0
	"Lip"	"20010"	"Kansas"	"20"	"2015"	"2015"	Suppressed	2923211	Suppressed	Suppressed
	"Lip"	"20010"	"Kansas"	"20"	"2016"	"2016"	23	2927628	0.7	0.8
	"Lip"	"20010"	"Kansas"	"20"	"2017"	"2017"	Suppressed	2927546	Suppressed	Suppressed
	"Lip"	"20010"	"Kansas"	"20"	"2018"	"2018"	Suppressed	2931560	Suppressed	Suppressed
	"Lip"	"20010"	"Kansas"	"20"	"2019"	"2019"	27	2933672	0.8	0.9
	"Lip"	"20010"	"Kansas"	"20"	"2020"	"2020"	20	2937919	0.5	0.7
	"Lip"	"20010"	"Kansas"	"20"	"2021"	"2021"	Suppressed	2937922	Suppressed	Suppressed
	"Tongue"	"20020"	"Kansas"	"20"	"1999"	"1999"	50	2678338	1.9	1.9
