ContentArea,Indicator,Measure,Year,Geography,County,GeoID,Filter,FilterValue,Value,Version
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Allen,20001,None,,22,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Anderson,20003,None,,79,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Atchison,20005,None,,92,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Barber,20007,None,,10,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Barton,20009,None,,158,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Bourbon,20011,None,,62,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Brown,20013,None,,38,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Butler,20015,None,,47,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Chase,20017,None,,Suppressed,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Chautauqua,20019,None,,Suppressed,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Cherokee,20021,None,,28,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Cheyenne,20023,None,,13,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Clark,20025,None,,8,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Clay,20027,None,,18,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Cloud,20029,None,,12,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Coffey,20031,None,,32,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Comanche,20033,None,,Suppressed,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Cowley,20035,None,,143,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Crawford,20037,None,,79,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Decatur,20039,None,,13,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Dickinson,20041,None,,45,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Doniphan,20043,None,,14,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Douglas,20045,None,,267,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Edwards,20047,None,,Suppressed,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Elk,20049,None,,Suppressed,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Ellis,20051,None,,86,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Ellsworth,20053,None,,Suppressed,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Finney,20055,None,,118,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Ford,20057,None,,135,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Franklin,20059,None,,143,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Geary,20061,None,,12,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Gove,20063,None,,Suppressed,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Graham,20065,None,,Suppressed,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Grant,20067,None,,21,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Gray,20069,None,,15,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Greeley,20071,None,,Suppressed,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Greenwood,20073,None,,31,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Hamilton,20075,None,,10,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Harper,20077,None,,25,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Harvey,20079,None,,94,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Haskell,20081,None,,24,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Hodgeman,20083,None,,No Events,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Jackson,20085,None,,30,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Jefferson,20087,None,,40,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Jewell,20089,None,,11,030904340220090000010100
Asthma,Emergency department visits for asthma,Number of emergency department visits for asthma,2009,County,Johnson,20091,None,,"1,520",030904340220090000010100
