year,avg_aqi
1971,28.747967479674795
1972,16.267175572519083
1973,29.192926045016076
1974,67.21403683424589
1975,56.97353579175705
1976,36.24952162265595
1977,36.92966360856269
1978,52.962691131498474
1979,26.365853658536587
1980,34.17815699658703
1981,35.1407867494824
1982,34.396103896103895
1983,43.26717076244486
1984,33.99748743718593
1985,37.254396984924625
1986,31.902392947103273
1987,30.787182587666262
1988,37.98265550239235
1989,30.70499419279907
1990,31.580379746835444
1991,32.48221906116643
1992,27.62850971922246
1993,23.366204162537166
1994,29.956375838926174
1995,27.021156558533146
1996,27.870160528800756
1997,34.90930674264008
1998,41.616526472043546
1999,40.789459884635555
2000,41.737823061630216
2001,43.79901067430357
2002,39.54521656354117
2003,38.035932203389834
2004,34.952565343659245
2005,39.319231704352056
2006,34.830529440870855
2007,32.87313432835821
2008,33.88489047831918
2009,33.604241781548254
2010,35.12720481427682
2011,37.5797656602073
2012,41.1379476087479
2013,37.18462357009843
2014,37.33994413407821
2015,36.10341997264022
2016,34.30991337824832
2017,35.17845698792211
2018,34.48336025848142
2019,31.90726643598616
2020,33.1906191369606
2021,43.486116866970576
2022,41.296875
2023,45.366068016813145
2024,37.950718685831625
